study_id,title,status,phase,enrollment
NCT03545373,Accuracy and Consequences of Using Trial-of-antibiotics for TB Diagnosis (ACT-TB Study),COMPLETED,PHASE3,1583.0
NCT01985373,Pharmacokinetics and Safety of IVIG Nanogam 100 mg/ml,COMPLETED,PHASE3,23.0
NCT05748873,Promising ROd-cone DYstrophy Gene therapY,ACTIVE_NOT_RECRUITING,PHASE1,33.0
NCT01833273,Dose Evaluation Safety STudy IN Individuals With Astrocytoma Taking PolyMVA,COMPLETED,PHASE1,13.0
NCT00234169,A Study of Peripheral Blood Progenitor Cells Mobilisation (PBPC) With VTP195183 Plus Granulocyte-Colony Stimulating Factor (G-CSF) Compared to Mobilisation With G-CSF Alone,COMPLETED,PHASE1,30.0
NCT01254383,Pharmacokinetics Of Sildenafil Orally Disintegrating Tablet Formulation Versus To Viagra® Oral Tablet.,COMPLETED,PHASE1,36.0
NCT00818883,Efficacy and Safety of Azilsartan Medoxomil and Chlorthalidone in Participants With Moderate to Severe Hypertension,COMPLETED,PHASE3,609.0
NCT04203641,L-DOS47 Plus Doxorubicin in Advanced Pancreatic Cancer,TERMINATED,PHASE1,28.0
NCT05819541,Treating Exacerbations of Asthma With Oral Montelukast in Children,COMPLETED,PHASE2,90.0
NCT00095641,S0225 Capecitabine in Treating Patients Who Have Undergone Surgery for Locally Recurrent or Persistent Head and Neck Cancer,WITHDRAWN,PHASE2,0.0
NCT00852241,Rejuvenation of the Lower Eyelid Using a Combination of Two Hyaluronic Acid Fillers - a Pilot Study,COMPLETED,PHASE4,18.0
NCT03421041,Study of Value of Dexamethasone Used in Ovulation Induction,WITHDRAWN,NA,0.0
NCT02938741,ATG Based Conditioning Regimen in HLA Related HSCT for Aggressive T-cell Tumors,UNKNOWN,PHASE4,130.0
NCT00189241,A Study to Evaluate Effectiveness of Imiquimod 5% Cream in Superficial Basal Cell Carcinoma,COMPLETED,PHASE3,160.0
NCT00247741,Spinal Anesthesia With Articaine and Lidocaine for Outpatient Surgery.,COMPLETED,PHASE3,80.0
NCT00367341,Imaging Predictors of Treatment Response in Depression,COMPLETED,NA,82.0
NCT00857454,A Trial to Evaluate the Ongoing Skin Safety of Testosterone MD-Lotion Formulations,COMPLETED,PHASE3,71.0
